Region,Sensor,Composite,Year,Mean,Median,t[start],t[max],t[end],t[duration],Magnitude[real],Magnitude[fit],Amplitude[real],Amplitude[fit],Flags,B0,h,sigma,beta,failure_code,RMSE,Loess,t_range,t_max,t_start,Log10,Tmax,Beta,Weights,MinPercentCover,Fit
2J,SeaWiFS 4km,Daily,1998,-0.385284989,-0.528095129,113,148,183,70,61.26811442,55.37983095,2.824787393,1.641136902,1,-0.595208813,41.75840981,18.99567265,-3.24E-05,0,0.193595929,0.2,31_250,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,1999,-0.295263459,-0.414290699,134,156,178,44,64.95951977,64.73064127,2.816034013,3.240844463, ,-0.380661737,29.96981053,11.74612256,-0.000530463,0,0.149647559,0.2,31_239,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2000,-0.336799756,-0.399132007,154,176,198,44,24.85432074,21.2206612,1.433757973,0.896908452,1,-0.063190418,16.57822101,11.97346531,-0.002236232,0,0.174142388,0.2,96_240,101_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2001,-0.446878146,-0.571646573,138,170,202,64,63.09185533,61.95587155,1.933683397,2.094784828, ,-0.524304711,43.45365356,17.32369177,-0.000644445,0,0.169545004,0.2,60_245,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2002,-0.232965471,-0.206067175,140,181,222,82,57.58617413,60.98231379,1.882042049,1.532717527,5,-0.829003157,48.74396901,22.34177728,0.001143358,0,0.166107021,0.2,80_240,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2003,-0.333959401,-0.436858757,133,154,175,42,98.65286334,94.02815654,6.188471362,5.342587569, ,-0.569010287,37.11813945,11.35377275,9.50E-05,0,0.149600609,0.2,60_230,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2004,-0.249596158,-0.307432217,89,144,199,110,86.55306727,74.41121089,2.012655456,1.328268793,1,-0.671893712,59.63342349,30.62890412,0.000679996,0,0.184749311,0.2,31_235,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2005,-0.296312401,-0.38215525,95,144,193,98,79.68652403,73.74831369,2.476275911,1.572495171,1,-0.425274642,66.70894817,27.24253186,-0.002129346,0,0.175485453,0.2,31_220,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2006,-0.21121045,-0.180656248,77,130,183,106,97.64536281,104.2198456,2.776894319,2.255421409, ,-0.935702328,88.56564952,29.02919176,0.000761267,0,0.154067228,0.2,31_219,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2007,-0.316318997,-0.375933204,139,172,205,66,37.57234568,35.24908542,1.323141846,0.999734217, ,-0.44103535,27.07529799,18.1479555,-0.000157075,0,0.165562515,0.2,60_245,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2008,,,,,,,,,,,,,,,,,,0.2,31_239,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2009,,,,,,,,,,,,,,,,,,0.2,31_239,91_181,,on,on,on,on,10,good
2J,SeaWiFS 4km,Daily,2010,-0.106791668,-0.222500373,104,135,166,62,90.11109774,93.77107373,3.230732293,3.06992905, ,-0.344404335,35.72839009,17.00396207,0.00045468,0,0.180459522,0.2,50_250,91_181,,on,on,on,on,10,good
2J,MODIS 4km,Daily,2003,-0.257179665,-0.406479414,131,154,177,46,102.2584586,88.69117173,6.718437035,4.478408548,1,-0.639890671,37.3555986,12.37458604,0.000744999,0,0.149802761,0.2,50_235,91_181,,on,on,on,on,10,good
2J,MODIS 4km,Daily,2004,-0.25441132,-0.329432181,91,140,189,98,60.52009119,48.03775005,1.427113055,0.902905973,12,-0.646790087,39.62837039,27.27498415,0.001110581,0,0.157080439,0.2,50_245,91_181,,on,on,on,on,10,good
2J,MODIS 4km,Daily,2005,-0.267905162,-0.3216124,100,144,188,88,75.35331645,65.45399284,2.811423344,1.518011712,1,-0.400809871,50.78598035,23.99682796,-0.001355156,0,0.134529108,0.2,50_215,91_181,,on,on,on,on,10,good
